standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,CHROMIUM,Chromium,MINERAL,BREASTFEEDING,217,360,μg,,45,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,BREASTFEEDING,361,600,μg,,45,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,CHILD,13,36,μg,340,,1000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,CHILD,37,96,μg,440,,3000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,97,156,μg,700,,5000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,157,216,μg,890,,8000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,217,360,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,361,600,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,601,840,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,MALE,841,9999,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,97,156,μg,700,,5000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,157,216,μg,890,,8000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,217,360,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,361,600,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,601,840,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,FEMALE,841,9999,μg,900,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,PREGNANT,157,216,μg,1000,,8000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,PREGNANT,217,360,μg,1000,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,PREGNANT,361,600,μg,1000,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,BREASTFEEDING,157,216,μg,1300,,8000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,BREASTFEEDING,217,360,μg,1300,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,COPPER,Copper,MINERAL,BREASTFEEDING,361,600,μg,1300,,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,CHILD,13,36,μg,,700,1300,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,CHILD,37,96,μg,,1000,2200,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,97,156,μg,,2000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,157,216,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,217,360,μg,,4000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,361,600,μg,,4000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,601,840,μg,,4000,10000,rec_elements.csv; upper_elements.csv
