standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source_life_stage_group,source,notes
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,NORMAL,372,611,45,,,μg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,NORMAL,372,611,700,,,mg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,MALE,NORMAL,372,611,55,,,μg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,MALE,NORMAL,372,611,11,,,mg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,MALE,NORMAL,372,611,3400,,,mg,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,MALE,NORMAL,372,611,1500,,,mg,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,NORMAL,372,611,2.3,,,g,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,NORMAL,612,851,1000,,,mg,RDA,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,NORMAL,612,851,30,,,μg,AI,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,MALE,NORMAL,612,851,900,,,μg,RDA,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,NORMAL,612,851,4,,,mg,AI,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,NORMAL,612,851,150,,,μg,RDA,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,MALE,NORMAL,612,851,8,,,mg,RDA,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,NORMAL,612,851,420,,,mg,RDA,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,NORMAL,612,851,2.3,,,mg,AI,Males 51-70 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
